,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
mean_fit_time,1.2694171905517577,1.2211273193359375,1.0471976280212403,1.0424955368041993,0.7411123752593994,0.6986052989959717,0.620564603805542,0.45554823875427247,0.3028834342956543,0.18783349990844728,0.07121520042419434,1.2755944728851318,1.191865825653076,1.1530554294586182,0.8910668849945068,0.8181720733642578,0.7592634201049805,0.5495897769927979,0.4359253406524658,0.35357093811035156,0.15534625053405762,0.07408022880554199,1.2176164150238038,1.1927656650543212,1.1523332118988037,0.9623479843139648,0.8011242389678955,0.7681916236877442,0.552097225189209,0.4359602451324463,0.35116939544677733,0.21025438308715821,0.06875662803649903,1.2921849727630614,1.2424484729766845,0.9829488277435303,0.9397054195404053,0.8237838745117188,0.8261640548706055,0.5636814594268799,0.44746246337890627,0.3614510536193848,0.19834284782409667,0.06808733940124512,1.3790497779846191,1.043814516067505,1.1665980815887451,0.8385722637176514,0.9424913406372071,0.7404474735260009,0.6086299896240235,0.4095712184906006,0.32266812324523925,0.2172623634338379,0.053096580505371097
std_fit_time,0.20362469601195243,0.13287990673123257,0.08612829735671435,0.022238976695899276,0.12379261248464189,0.12558259347393497,0.09597625615925634,0.08720136044789392,0.05249436513519769,0.03467747067106467,0.013757076408686925,0.13261604839685004,0.18840178125402304,0.03364139002649096,0.15046086058388944,0.11467139357269776,0.10612932151339477,0.10653968112751501,0.08620189694991034,0.018356654462408445,0.02894056357172266,0.014260679081541447,0.22290897227165146,0.1954986917866534,0.02662076408005073,0.1460730849443218,0.14337766812052063,0.11158131921649925,0.07177546649727942,0.08800080333898704,0.048027265220322045,0.013949551754225855,0.017054518855347537,0.10034478260425501,0.14909042122331093,0.16737785687504647,0.15699318822354785,0.14544950881944485,0.028562242529967644,0.10953947770195584,0.06999151609520106,0.016431039047713748,0.03246423159882451,0.01736011218658953,0.012481347106092411,0.2132908417535038,0.022128713111296678,0.1601521573278849,0.03990764374203803,0.13593497145482836,0.08411456113242695,0.06693355611735848,0.049396493269238194,0.011126332297610042,0.014453181435206115
mean_score_time,0.0025490283966064452,0.0030127048492431642,0.0034080982208251954,0.0032567501068115233,0.0024010181427001954,0.002656888961791992,0.0025943756103515626,0.002505779266357422,0.0025562763214111326,0.0022764682769775392,0.002073192596435547,0.0034065723419189455,0.0033426284790039062,0.0028375625610351563,0.0020754337310791016,0.002786540985107422,0.0029207706451416016,0.0026465415954589843,0.0024960517883300783,0.002381563186645508,0.0017937660217285157,0.002022552490234375,0.003265714645385742,0.0029325008392333983,0.003505229949951172,0.003908538818359375,0.002541637420654297,0.0029856681823730467,0.0025820255279541014,0.0024197578430175783,0.002623176574707031,0.002276611328125,0.00197601318359375,0.0030477046966552734,0.0025890350341796877,0.002540397644042969,0.0026296138763427734,0.002658987045288086,0.002521848678588867,0.002372074127197266,0.002340364456176758,0.002634477615356445,0.002142333984375,0.0021023273468017576,0.0025023937225341795,0.0020035266876220702,0.0029079437255859373,0.002267313003540039,0.002815055847167969,0.0029607295989990236,0.0023396492004394533,0.0019573211669921876,0.0019476890563964843,0.002166080474853516,0.001581859588623047
std_score_time,0.00047073091833850354,0.000462274661666268,0.0017057361118010456,0.0005256752273092375,0.0004536776322743754,0.0007088709275138927,0.0006938959426268258,0.0003273029496841061,0.00033518319622226773,0.0003410446695477579,0.0003048380308939187,0.0008279635755742224,0.0007708989483236797,0.0006191545802443769,0.00034391127583091824,0.0005814236922843202,0.0004090067937956183,0.0007902997932187548,0.0002948632135697413,0.0005077109618972577,0.0003005832430006999,0.0003387984685403626,0.00047779096576742113,0.0005194944738649616,0.0005629853791218321,0.0022769654828032693,0.00032983507668014656,0.0009198908261073061,0.00036434188985956127,0.0007698453945291731,9.521789748387237e-05,0.0003029726418329063,0.00037998611313734716,0.00037561776849019603,0.00047774279899291184,0.0007547754806633212,0.0003709947109702631,0.0007262515233397111,0.00028408025821220675,0.0007300420869362179,0.00039105462731392097,5.8967310978458126e-05,0.0003487594146554243,0.0006644076793690927,0.0004032856122011809,5.849348028417521e-05,0.0006107081809399475,0.0007483929408908266,0.0006183745792201987,0.0007151830540920547,0.0003932466358928242,0.0003699755696218698,0.00029224623152785865,0.0004438545499670594,0.0002477944016964143
param_reg_lambda,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
param_subsample,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0
params,"{'reg_lambda': 1.0, 'subsample': 1}","{'reg_lambda': 1.0, 'subsample': 0.9}","{'reg_lambda': 1.0, 'subsample': 0.8}","{'reg_lambda': 1.0, 'subsample': 0.7}","{'reg_lambda': 1.0, 'subsample': 0.6}","{'reg_lambda': 1.0, 'subsample': 0.5}","{'reg_lambda': 1.0, 'subsample': 0.4}","{'reg_lambda': 1.0, 'subsample': 0.3}","{'reg_lambda': 1.0, 'subsample': 0.2}","{'reg_lambda': 1.0, 'subsample': 0.1}","{'reg_lambda': 1.0, 'subsample': 0}","{'reg_lambda': 1.5, 'subsample': 1}","{'reg_lambda': 1.5, 'subsample': 0.9}","{'reg_lambda': 1.5, 'subsample': 0.8}","{'reg_lambda': 1.5, 'subsample': 0.7}","{'reg_lambda': 1.5, 'subsample': 0.6}","{'reg_lambda': 1.5, 'subsample': 0.5}","{'reg_lambda': 1.5, 'subsample': 0.4}","{'reg_lambda': 1.5, 'subsample': 0.3}","{'reg_lambda': 1.5, 'subsample': 0.2}","{'reg_lambda': 1.5, 'subsample': 0.1}","{'reg_lambda': 1.5, 'subsample': 0}","{'reg_lambda': 2.0, 'subsample': 1}","{'reg_lambda': 2.0, 'subsample': 0.9}","{'reg_lambda': 2.0, 'subsample': 0.8}","{'reg_lambda': 2.0, 'subsample': 0.7}","{'reg_lambda': 2.0, 'subsample': 0.6}","{'reg_lambda': 2.0, 'subsample': 0.5}","{'reg_lambda': 2.0, 'subsample': 0.4}","{'reg_lambda': 2.0, 'subsample': 0.3}","{'reg_lambda': 2.0, 'subsample': 0.2}","{'reg_lambda': 2.0, 'subsample': 0.1}","{'reg_lambda': 2.0, 'subsample': 0}","{'reg_lambda': 2.5, 'subsample': 1}","{'reg_lambda': 2.5, 'subsample': 0.9}","{'reg_lambda': 2.5, 'subsample': 0.8}","{'reg_lambda': 2.5, 'subsample': 0.7}","{'reg_lambda': 2.5, 'subsample': 0.6}","{'reg_lambda': 2.5, 'subsample': 0.5}","{'reg_lambda': 2.5, 'subsample': 0.4}","{'reg_lambda': 2.5, 'subsample': 0.3}","{'reg_lambda': 2.5, 'subsample': 0.2}","{'reg_lambda': 2.5, 'subsample': 0.1}","{'reg_lambda': 2.5, 'subsample': 0}","{'reg_lambda': 3.0, 'subsample': 1}","{'reg_lambda': 3.0, 'subsample': 0.9}","{'reg_lambda': 3.0, 'subsample': 0.8}","{'reg_lambda': 3.0, 'subsample': 0.7}","{'reg_lambda': 3.0, 'subsample': 0.6}","{'reg_lambda': 3.0, 'subsample': 0.5}","{'reg_lambda': 3.0, 'subsample': 0.4}","{'reg_lambda': 3.0, 'subsample': 0.3}","{'reg_lambda': 3.0, 'subsample': 0.2}","{'reg_lambda': 3.0, 'subsample': 0.1}","{'reg_lambda': 3.0, 'subsample': 0}"
split0_test_score,0.6565656565656566,0.7070707070707071,0.6262626262626263,0.6464646464646465,0.6464646464646465,0.6868686868686869,0.6565656565656566,0.6363636363636364,0.5555555555555556,0.6161616161616161,0.6565656565656566,0.6868686868686869,0.6666666666666666,0.5959595959595959,0.6363636363636364,0.7070707070707071,0.5959595959595959,0.6262626262626263,0.6464646464646465,0.6464646464646465,0.5858585858585859,0.6565656565656566,0.6767676767676768,0.7171717171717171,0.6868686868686869,0.6767676767676768,0.6767676767676768,0.6363636363636364,0.5959595959595959,0.696969696969697,0.6464646464646465,0.6161616161616161,0.6565656565656566,0.6464646464646465,0.696969696969697,0.6262626262626263,0.6767676767676768,0.7070707070707071,0.6767676767676768,0.696969696969697,0.6666666666666666,0.6565656565656566,0.6464646464646465,0.6565656565656566,0.696969696969697,0.7070707070707071,0.6868686868686869,0.7070707070707071,0.7171717171717171,0.6363636363636364,0.5959595959595959,0.6565656565656566,0.5555555555555556,0.5959595959595959,0.6565656565656566
split1_test_score,0.6565656565656566,0.6565656565656566,0.6666666666666666,0.6565656565656566,0.5959595959595959,0.6666666666666666,0.6767676767676768,0.6666666666666666,0.5858585858585859,0.6363636363636364,0.6666666666666666,0.6767676767676768,0.6868686868686869,0.6464646464646465,0.6262626262626263,0.6666666666666666,0.6767676767676768,0.6161616161616161,0.6767676767676768,0.6464646464646465,0.5656565656565656,0.6666666666666666,0.7070707070707071,0.696969696969697,0.6464646464646465,0.6262626262626263,0.696969696969697,0.6767676767676768,0.6565656565656566,0.6868686868686869,0.6060606060606061,0.6060606060606061,0.6666666666666666,0.6868686868686869,0.7070707070707071,0.6666666666666666,0.6262626262626263,0.696969696969697,0.7070707070707071,0.6868686868686869,0.7070707070707071,0.6161616161616161,0.6565656565656566,0.6666666666666666,0.6565656565656566,0.6868686868686869,0.6666666666666666,0.6262626262626263,0.6868686868686869,0.6868686868686869,0.6767676767676768,0.7070707070707071,0.6666666666666666,0.6464646464646465,0.6666666666666666
split2_test_score,0.6836734693877551,0.7142857142857143,0.7040816326530612,0.673469387755102,0.673469387755102,0.6632653061224489,0.6836734693877551,0.673469387755102,0.6428571428571429,0.6122448979591837,0.6632653061224489,0.6938775510204082,0.6938775510204082,0.7040816326530612,0.7040816326530612,0.6224489795918368,0.673469387755102,0.6632653061224489,0.6224489795918368,0.6122448979591837,0.6938775510204082,0.6632653061224489,0.6938775510204082,0.7244897959183674,0.6938775510204082,0.7142857142857143,0.6836734693877551,0.6530612244897959,0.7040816326530612,0.6428571428571429,0.6224489795918368,0.6836734693877551,0.6632653061224489,0.6632653061224489,0.7142857142857143,0.6224489795918368,0.6530612244897959,0.6326530612244898,0.6122448979591837,0.6632653061224489,0.6938775510204082,0.6224489795918368,0.6632653061224489,0.6632653061224489,0.7040816326530612,0.673469387755102,0.6938775510204082,0.6938775510204082,0.6632653061224489,0.6836734693877551,0.7040816326530612,0.6938775510204082,0.6326530612244898,0.6428571428571429,0.6632653061224489
