,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
mean_fit_time,1.311580514907837,1.272053050994873,1.3845914363861085,1.4504098415374755,1.1716543197631837,1.3296934604644775,0.8583256244659424,0.5190530300140381,0.46421256065368655,0.23760709762573243,1.3161585807800293,1.5170014381408692,1.234929895401001,1.1937554836273194,1.1385504722595214,0.8688494205474854,0.7019252300262451,0.5764024734497071,0.4806967258453369,0.28133864402770997,1.5753467082977295,1.4061466693878173,1.24263596534729,1.0760193347930909,1.1411693572998047,1.0518294811248778,0.7399123668670654,0.47580914497375487,0.48525209426879884,0.29611525535583494,1.6223567008972168,1.3488595962524415,1.368523073196411,1.1505795001983643,1.1596694469451905,1.0040462970733643,0.7705986022949218,0.4839464664459229,0.4800175666809082,0.29650077819824217,1.6207539081573485,1.2086192607879638,1.472103977203369,1.084827709197998,1.2386622428894043,1.0978474140167236,0.7314302921295166,0.4776712417602539,0.42141103744506836,0.2663442611694336
std_fit_time,0.22587414692447685,0.2162236621891928,0.26817729761283143,0.24748290381388777,0.20539897925684347,0.021756493696744855,0.20209761881693297,0.08848731400352149,0.06796112242352481,0.04327374402784282,0.15163420413405593,0.11467338307578588,0.1843368992463841,0.18725490199738856,0.052963936791907085,0.11330694384060665,0.11781061016121396,0.1044119224009809,0.06619573065250012,0.047105213513036495,0.2414109088966662,0.29451398123570516,0.25145969023100406,0.20776345029733992,0.11831083880890514,0.014438924826242682,0.12482385281802796,0.02323924136720932,0.041664853559977476,0.03619120259896418,0.24859353178830376,0.26114840335421013,0.219294186585917,0.23134471889189442,0.11563321419318502,0.1459283087529434,0.14060787582426265,0.023579918883594928,0.0650518617160168,0.0397229068963979,0.2552909773448526,0.2221803271723623,0.03889419421177422,0.24825834093640614,0.018500835490129562,0.013879729080894103,0.1502003812863481,0.007837489398831646,0.029488626882958124,0.02088582003820698
mean_score_time,0.004459667205810547,0.004525423049926758,0.005273294448852539,0.003935766220092773,0.003343009948730469,0.003823709487915039,0.004097414016723633,0.003392791748046875,0.002877473831176758,0.002607583999633789,0.005174589157104492,0.004183149337768555,0.005038118362426758,0.004032516479492187,0.0045299530029296875,0.0036019325256347657,0.0034340381622314452,0.002861785888671875,0.003412151336669922,0.0031798839569091796,0.004038763046264648,0.003320455551147461,0.0035480499267578126,0.003570222854614258,0.003381967544555664,0.003904390335083008,0.0033080577850341797,0.0025794506072998047,0.0033152103424072266,0.002737092971801758,0.0031678199768066405,0.003230762481689453,0.0040915489196777345,0.0026991844177246095,0.003545713424682617,0.00374751091003418,0.003516483306884766,0.002362632751464844,0.00279850959777832,0.002843904495239258,0.0024793148040771484,0.0028179168701171877,0.003326559066772461,0.0030961036682128906,0.003899812698364258,0.0033315181732177734,0.002651023864746094,0.0018728256225585937,0.001629638671875,0.0016933441162109374
std_score_time,0.0019274978325366698,0.002841458466218179,0.0022770988634892423,0.0008750052204756994,0.0006341093875309731,9.43139299856031e-05,0.00021320814687835623,0.0014689852115704622,0.0005001300572493018,0.0004493065017775073,0.0011757486312831693,0.0005511592914744193,0.0005618122149656158,0.0005642943714843322,0.0014941245753040421,0.0006049228920665479,0.001461285630535135,0.0008690448245080578,0.0005951058901356057,0.0008016189667035767,0.00050692301053315,0.0008662916679899318,0.0009585563701374933,0.0009594515169379009,0.0008793264683565873,0.0006209121721554614,0.0003235479441814573,0.0004883198750760801,0.0005821606617799295,0.0004230785456936161,0.0007138565110133591,0.0006937702966488028,0.0015156296144491002,0.0005548823192739679,0.0008597942604305553,0.0008836672497702646,0.0008425231200943523,0.000478894791438781,0.0004936944150542484,0.0006256667444643289,0.000442894684789578,0.000746527678099784,0.0008733773080477519,0.0006974347813818659,0.00038594261098639685,0.00042157624857881303,0.0008985146135404362,5.3573752902582216e-05,0.0001331065453714877,0.00012288960428862312
param_reg_lambda,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
param_subsample,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1
params,"{'reg_lambda': 1.0, 'subsample': 1}","{'reg_lambda': 1.0, 'subsample': 0.9}","{'reg_lambda': 1.0, 'subsample': 0.8}","{'reg_lambda': 1.0, 'subsample': 0.7}","{'reg_lambda': 1.0, 'subsample': 0.6}","{'reg_lambda': 1.0, 'subsample': 0.5}","{'reg_lambda': 1.0, 'subsample': 0.4}","{'reg_lambda': 1.0, 'subsample': 0.3}","{'reg_lambda': 1.0, 'subsample': 0.2}","{'reg_lambda': 1.0, 'subsample': 0.1}","{'reg_lambda': 1.5, 'subsample': 1}","{'reg_lambda': 1.5, 'subsample': 0.9}","{'reg_lambda': 1.5, 'subsample': 0.8}","{'reg_lambda': 1.5, 'subsample': 0.7}","{'reg_lambda': 1.5, 'subsample': 0.6}","{'reg_lambda': 1.5, 'subsample': 0.5}","{'reg_lambda': 1.5, 'subsample': 0.4}","{'reg_lambda': 1.5, 'subsample': 0.3}","{'reg_lambda': 1.5, 'subsample': 0.2}","{'reg_lambda': 1.5, 'subsample': 0.1}","{'reg_lambda': 2.0, 'subsample': 1}","{'reg_lambda': 2.0, 'subsample': 0.9}","{'reg_lambda': 2.0, 'subsample': 0.8}","{'reg_lambda': 2.0, 'subsample': 0.7}","{'reg_lambda': 2.0, 'subsample': 0.6}","{'reg_lambda': 2.0, 'subsample': 0.5}","{'reg_lambda': 2.0, 'subsample': 0.4}","{'reg_lambda': 2.0, 'subsample': 0.3}","{'reg_lambda': 2.0, 'subsample': 0.2}","{'reg_lambda': 2.0, 'subsample': 0.1}","{'reg_lambda': 2.5, 'subsample': 1}","{'reg_lambda': 2.5, 'subsample': 0.9}","{'reg_lambda': 2.5, 'subsample': 0.8}","{'reg_lambda': 2.5, 'subsample': 0.7}","{'reg_lambda': 2.5, 'subsample': 0.6}","{'reg_lambda': 2.5, 'subsample': 0.5}","{'reg_lambda': 2.5, 'subsample': 0.4}","{'reg_lambda': 2.5, 'subsample': 0.3}","{'reg_lambda': 2.5, 'subsample': 0.2}","{'reg_lambda': 2.5, 'subsample': 0.1}","{'reg_lambda': 3.0, 'subsample': 1}","{'reg_lambda': 3.0, 'subsample': 0.9}","{'reg_lambda': 3.0, 'subsample': 0.8}","{'reg_lambda': 3.0, 'subsample': 0.7}","{'reg_lambda': 3.0, 'subsample': 0.6}","{'reg_lambda': 3.0, 'subsample': 0.5}","{'reg_lambda': 3.0, 'subsample': 0.4}","{'reg_lambda': 3.0, 'subsample': 0.3}","{'reg_lambda': 3.0, 'subsample': 0.2}","{'reg_lambda': 3.0, 'subsample': 0.1}"
split0_test_score,0.7051282051282052,0.717948717948718,0.7307692307692307,0.6923076923076923,0.7051282051282052,0.6666666666666666,0.6794871794871795,0.7307692307692307,0.6153846153846154,0.6025641025641025,0.6923076923076923,0.7051282051282052,0.717948717948718,0.6794871794871795,0.6923076923076923,0.6923076923076923,0.717948717948718,0.7051282051282052,0.6410256410256411,0.6794871794871795,0.717948717948718,0.7051282051282052,0.6794871794871795,0.6666666666666666,0.6794871794871795,0.6666666666666666,0.7051282051282052,0.6410256410256411,0.6025641025641025,0.6923076923076923,0.6794871794871795,0.7307692307692307,0.7051282051282052,0.6794871794871795,0.7051282051282052,0.7051282051282052,0.717948717948718,0.6666666666666666,0.6794871794871795,0.6282051282051282,0.6794871794871795,0.7307692307692307,0.6794871794871795,0.6923076923076923,0.6923076923076923,0.7051282051282052,0.7051282051282052,0.7051282051282052,0.6923076923076923,0.6794871794871795
split1_test_score,0.717948717948718,0.782051282051282,0.7307692307692307,0.6666666666666666,0.6410256410256411,0.7051282051282052,0.6538461538461539,0.7564102564102564,0.6153846153846154,0.6153846153846154,0.7051282051282052,0.6923076923076923,0.7564102564102564,0.7051282051282052,0.6666666666666666,0.7307692307692307,0.7435897435897436,0.6410256410256411,0.8076923076923077,0.6153846153846154,0.7307692307692307,0.7051282051282052,0.6923076923076923,0.7564102564102564,0.7435897435897436,0.717948717948718,0.7435897435897436,0.717948717948718,0.5897435897435898,0.6282051282051282,0.7564102564102564,0.7435897435897436,0.7564102564102564,0.7307692307692307,0.6923076923076923,0.717948717948718,0.7692307692307693,0.6666666666666666,0.717948717948718,0.6025641025641025,0.7307692307692307,0.7435897435897436,0.717948717948718,0.6923076923076923,0.7051282051282052,0.7307692307692307,0.7564102564102564,0.6538461538461539,0.6923076923076923,0.717948717948718
split2_test_score,0.7051282051282052,0.717948717948718,0.7692307692307693,0.717948717948718,0.6538461538461539,0.717948717948718,0.6923076923076923,0.6025641025641025,0.6538461538461539,0.6025641025641025,0.717948717948718,0.7564102564102564,0.6794871794871795,0.7307692307692307,0.7692307692307693,0.6794871794871795,0.6666666666666666,0.6923076923076923,0.6923076923076923,0.6410256410256411,0.7051282051282052,0.7307692307692307,0.7564102564102564,0.6923076923076923,0.717948717948718,0.6923076923076923,0.7307692307692307,0.6666666666666666,0.717948717948718,0.6410256410256411,0.6794871794871795,0.782051282051282,0.7692307692307693,0.6794871794871795,0.782051282051282,0.6666666666666666,0.7435897435897436,0.6794871794871795,0.6025641025641025,0.6794871794871795,0.7051282051282052,0.7307692307692307,0.7435897435897436,0.7435897435897436,0.6923076923076923,0.717948717948718,0.7692307692307693,0.7948717948717948,0.7051282051282052,0.5769230769230769
