,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
mean_fit_time,0.9683538436889648,1.1656591415405273,1.107175636291504,1.15490665435791,0.8573926448822021,1.095432662963867,0.7057589054107666,0.4189008712768555,0.3366684913635254,0.22859582901000977,1.1571951866149903,1.110625696182251,0.9688395977020263,0.9267044067382812,0.8618971347808838,0.7671375751495362,0.5597901344299316,0.49040908813476564,0.3730476379394531,0.22478790283203126,1.1022011280059814,1.2189484119415284,0.9999275207519531,0.959993314743042,0.7408610343933105,0.7902756214141846,0.6407532215118408,0.4277698516845703,0.3825088977813721,0.22533173561096193,1.1151070594787598,1.0535379886627196,0.9885257720947266,0.9708688259124756,0.9594893455505371,0.812847375869751,0.663853120803833,0.47356491088867186,0.38320174217224123,0.21970834732055664,1.2280171394348145,1.1435356140136719,0.995850944519043,0.9443756103515625,0.8909729480743408,0.8203283786773682,0.5860612869262696,0.4239811897277832,0.348798942565918,0.22706756591796876
std_fit_time,0.16022040317846334,0.21146436210198336,0.207134917590098,0.24139275659350537,0.29504068553688384,0.03301036230279534,0.21632468168317365,0.06913623239379332,0.060535782728582704,0.021572411621954994,0.1639652716096687,0.12598917949693952,0.16437612174835373,0.14051218911097973,0.11867341245305173,0.10079500072928793,0.08424255970493782,0.058509021991219094,0.04923704999922722,0.021762320028985895,0.18042809107049318,0.05002422408960602,0.13561897884432425,0.12159586580286609,0.11049302980738449,0.10071634116466154,0.0945532784926513,0.07516230676238773,0.02375273172511726,0.027484956466939565,0.16973931460457695,0.19147196199343694,0.19999097805966767,0.14203641391750516,0.007365089342613082,0.06428762835070233,0.08559555691692665,0.08865332441886839,0.03763186066508384,0.036946803767641395,0.16198030299240482,0.12010743411948853,0.21004317211167656,0.11975429952381626,0.12864901165871523,0.10112329820271977,0.11822550794427962,0.04894255957028273,0.041879404980403885,0.01889606866617336
mean_score_time,0.0031482696533203123,0.004834127426147461,0.004305648803710938,0.004222249984741211,0.002731609344482422,0.0035011768341064453,0.002867889404296875,0.0028639316558837892,0.0033492565155029295,0.0038324832916259766,0.0036285400390625,0.0031766891479492188,0.0035791873931884767,0.003924083709716797,0.003850698471069336,0.0028144359588623048,0.00310211181640625,0.003825521469116211,0.003796243667602539,0.00219268798828125,0.00341796875,0.003868579864501953,0.0029292583465576174,0.003021574020385742,0.002465057373046875,0.0028502941131591797,0.0027863502502441405,0.002443885803222656,0.0023096084594726564,0.0025950908660888673,0.002902698516845703,0.002979135513305664,0.0035277366638183593,0.0034820556640625,0.0032053470611572267,0.003415536880493164,0.0030369281768798826,0.0023679733276367188,0.002453041076660156,0.0022598743438720704,0.002580404281616211,0.0030060291290283205,0.002493762969970703,0.002670431137084961,0.0035671710968017576,0.002700662612915039,0.0026047229766845703,0.0021898746490478516,0.0016968727111816406,0.0019826889038085938
std_score_time,0.0010933655334421206,0.00258976385591661,0.0016853283262655721,0.0025287001737347137,0.0005080378565656652,0.00011169792111562992,0.0005668140935865743,0.0011810446450772297,0.001740996965066583,0.001786633617954934,0.0007342297220318099,0.001020807626967471,0.001385698187179833,0.002031783862807059,0.0009513308341895609,9.927729021210393e-05,0.000842045162073514,0.0013376426443845795,0.0011498776614199961,0.0003757022150000585,0.0007548093490777705,0.000497615456029934,0.0007000230211344705,0.00041496624860095076,0.00044265416212959237,0.000672804895202768,0.0005419053305990516,0.0008411567442101554,0.0004166813179564156,0.0005759034332393999,0.0005892117295094952,0.0009372918230897516,0.00061110218651229,0.0005101822547963783,0.000523229535278892,0.0004945635472334277,0.0007320025884263855,0.0005009963755475687,0.0003172189935652088,0.0004541862693031804,0.0003505823075853212,0.0008455903706390899,0.0004694495750719241,0.0007127123052010539,0.0007895460018193995,0.0008009185586750282,0.0007300226613646411,0.0003859444667684103,6.163558815234097e-05,0.0003636134561082531
param_reg_lambda,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
param_subsample,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1
params,"{'reg_lambda': 1.0, 'subsample': 1}","{'reg_lambda': 1.0, 'subsample': 0.9}","{'reg_lambda': 1.0, 'subsample': 0.8}","{'reg_lambda': 1.0, 'subsample': 0.7}","{'reg_lambda': 1.0, 'subsample': 0.6}","{'reg_lambda': 1.0, 'subsample': 0.5}","{'reg_lambda': 1.0, 'subsample': 0.4}","{'reg_lambda': 1.0, 'subsample': 0.3}","{'reg_lambda': 1.0, 'subsample': 0.2}","{'reg_lambda': 1.0, 'subsample': 0.1}","{'reg_lambda': 1.5, 'subsample': 1}","{'reg_lambda': 1.5, 'subsample': 0.9}","{'reg_lambda': 1.5, 'subsample': 0.8}","{'reg_lambda': 1.5, 'subsample': 0.7}","{'reg_lambda': 1.5, 'subsample': 0.6}","{'reg_lambda': 1.5, 'subsample': 0.5}","{'reg_lambda': 1.5, 'subsample': 0.4}","{'reg_lambda': 1.5, 'subsample': 0.3}","{'reg_lambda': 1.5, 'subsample': 0.2}","{'reg_lambda': 1.5, 'subsample': 0.1}","{'reg_lambda': 2.0, 'subsample': 1}","{'reg_lambda': 2.0, 'subsample': 0.9}","{'reg_lambda': 2.0, 'subsample': 0.8}","{'reg_lambda': 2.0, 'subsample': 0.7}","{'reg_lambda': 2.0, 'subsample': 0.6}","{'reg_lambda': 2.0, 'subsample': 0.5}","{'reg_lambda': 2.0, 'subsample': 0.4}","{'reg_lambda': 2.0, 'subsample': 0.3}","{'reg_lambda': 2.0, 'subsample': 0.2}","{'reg_lambda': 2.0, 'subsample': 0.1}","{'reg_lambda': 2.5, 'subsample': 1}","{'reg_lambda': 2.5, 'subsample': 0.9}","{'reg_lambda': 2.5, 'subsample': 0.8}","{'reg_lambda': 2.5, 'subsample': 0.7}","{'reg_lambda': 2.5, 'subsample': 0.6}","{'reg_lambda': 2.5, 'subsample': 0.5}","{'reg_lambda': 2.5, 'subsample': 0.4}","{'reg_lambda': 2.5, 'subsample': 0.3}","{'reg_lambda': 2.5, 'subsample': 0.2}","{'reg_lambda': 2.5, 'subsample': 0.1}","{'reg_lambda': 3.0, 'subsample': 1}","{'reg_lambda': 3.0, 'subsample': 0.9}","{'reg_lambda': 3.0, 'subsample': 0.8}","{'reg_lambda': 3.0, 'subsample': 0.7}","{'reg_lambda': 3.0, 'subsample': 0.6}","{'reg_lambda': 3.0, 'subsample': 0.5}","{'reg_lambda': 3.0, 'subsample': 0.4}","{'reg_lambda': 3.0, 'subsample': 0.3}","{'reg_lambda': 3.0, 'subsample': 0.2}","{'reg_lambda': 3.0, 'subsample': 0.1}"
split0_test_score,0.6862745098039216,0.6568627450980392,0.7058823529411765,0.7352941176470589,0.6666666666666666,0.7156862745098039,0.6764705882352942,0.6862745098039216,0.6568627450980392,0.6568627450980392,0.6764705882352942,0.696078431372549,0.7156862745098039,0.7156862745098039,0.7156862745098039,0.7058823529411765,0.7352941176470589,0.6666666666666666,0.6862745098039216,0.6274509803921569,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.696078431372549,0.7156862745098039,0.7254901960784313,0.6470588235294118,0.6666666666666666,0.696078431372549,0.6470588235294118,0.6764705882352942,0.6862745098039216,0.7156862745098039,0.696078431372549,0.6862745098039216,0.6666666666666666,0.7058823529411765,0.6470588235294118,0.6568627450980392,0.6274509803921569,0.6862745098039216,0.6764705882352942,0.7352941176470589,0.696078431372549,0.6862745098039216,0.7156862745098039,0.7058823529411765,0.7058823529411765,0.6862745098039216,0.6764705882352942
split1_test_score,0.5882352941176471,0.6372549019607843,0.5392156862745098,0.5980392156862745,0.6372549019607843,0.6078431372549019,0.5392156862745098,0.5686274509803921,0.5392156862745098,0.6470588235294118,0.6176470588235294,0.6078431372549019,0.5588235294117647,0.6666666666666666,0.5882352941176471,0.5588235294117647,0.5686274509803921,0.5,0.5980392156862745,0.6078431372549019,0.6274509803921569,0.5882352941176471,0.6274509803921569,0.5882352941176471,0.5588235294117647,0.6274509803921569,0.5490196078431373,0.5882352941176471,0.5882352941176471,0.5588235294117647,0.6274509803921569,0.5784313725490197,0.5882352941176471,0.5490196078431373,0.6176470588235294,0.5882352941176471,0.5784313725490197,0.5686274509803921,0.5980392156862745,0.5588235294117647,0.6274509803921569,0.5980392156862745,0.5980392156862745,0.6274509803921569,0.6274509803921569,0.6176470588235294,0.5294117647058824,0.5784313725490197,0.5588235294117647,0.6078431372549019
split2_test_score,0.46534653465346537,0.5742574257425742,0.5148514851485149,0.5841584158415841,0.6138613861386139,0.504950495049505,0.49504950495049505,0.504950495049505,0.42574257425742573,0.5247524752475248,0.49504950495049505,0.5643564356435643,0.5643564356435643,0.6039603960396039,0.5445544554455446,0.5247524752475248,0.594059405940594,0.4752475247524752,0.5445544554455446,0.6039603960396039,0.504950495049505,0.5148514851485149,0.6336633663366337,0.48514851485148514,0.5643564356435643,0.5346534653465347,0.504950495049505,0.49504950495049505,0.5742574257425742,0.5544554455445545,0.5247524752475248,0.5247524752475248,0.504950495049505,0.594059405940594,0.5643564356435643,0.5841584158415841,0.5148514851485149,0.5247524752475248,0.5742574257425742,0.594059405940594,0.5346534653465347,0.48514851485148514,0.5841584158415841,0.5346534653465347,0.6237623762376238,0.5445544554455446,0.5445544554455446,0.5544554455445545,0.5247524752475248,0.5445544554455446
